"rgn_id","species","Year","bbmsy"
1,"Sphyraena_sp",2002,0.4
1,"Sphyraena_sp",2003,0.35
1,"Sphyraena_sp",2004,0.33
1,"Sphyraena_sp",2005,0.33
1,"Sphyraena_sp",2006,0.32
1,"Sphyraena_sp",2007,0.29
1,"Sphyraena_sp",2008,0.26
1,"Sphyraena_sp",2009,0.22
1,"Sphyraena_sp",2010,0.24
1,"Sphyraena_sp",2011,0.21
1,"Sphyraena_sp",2012,0.17
1,"Sphyraena_sp",2013,0.16
1,"Sphyraena_sp",2014,0.12
1,"Siganus_sutor",2002,4.09
1,"Siganus_sutor",2003,3.65
1,"Siganus_sutor",2004,3.36
1,"Siganus_sutor",2005,3.2
1,"Siganus_sutor",2006,3.06
1,"Siganus_sutor",2007,2.91
1,"Siganus_sutor",2008,2.76
1,"Siganus_sutor",2009,2.6
1,"Siganus_sutor",2010,2.62
1,"Siganus_sutor",2011,2.23
1,"Siganus_sutor",2012,1.72
1,"Siganus_sutor",2013,1.39
1,"Siganus_sutor",2014,0.84
1,"Rastrelliger_kanarguta",2002,0.72
1,"Rastrelliger_kanarguta",2003,0.58
1,"Rastrelliger_kanarguta",2004,0.53
1,"Rastrelliger_kanarguta",2005,0.51
1,"Rastrelliger_kanarguta",2006,0.52
1,"Rastrelliger_kanarguta",2007,0.51
1,"Rastrelliger_kanarguta",2008,0.47
1,"Rastrelliger_kanarguta",2009,0.47
1,"Rastrelliger_kanarguta",2010,0.48
1,"Rastrelliger_kanarguta",2011,0.36
1,"Rastrelliger_kanarguta",2012,0.29
1,"Rastrelliger_kanarguta",2013,0.21
1,"Rastrelliger_kanarguta",2014,0.13
1,"Panulirus_sp",2002,16.72
1,"Panulirus_sp",2003,13.86
1,"Panulirus_sp",2004,10.42
1,"Panulirus_sp",2005,7.68
1,"Panulirus_sp",2006,6.53
1,"Panulirus_sp",2007,5.67
1,"Panulirus_sp",2008,4.41
1,"Panulirus_sp",2009,2.53
1,"Panulirus_sp",2010,1.87
1,"Panulirus_sp",2011,0.45
1,"Panulirus_sp",2012,0.12
1,"Panulirus_sp",2013,0.03
1,"Panulirus_sp",2014,0.01
1,"Peneius_indicus",2002,4.68
1,"Peneius_indicus",2003,3.19
1,"Peneius_indicus",2004,2.32
1,"Peneius_indicus",2005,2.05
1,"Peneius_indicus",2006,1.77
1,"Peneius_indicus",2007,1.4
1,"Peneius_indicus",2008,0.7
1,"Peneius_indicus",2009,0.31
1,"Peneius_indicus",2010,0.06
1,"Peneius_indicus",2011,0.01
1,"Peneius_indicus",2012,0
1,"Peneius_indicus",2013,0
1,"Peneius_indicus",2014,0
2,"Sphyraena_sp",2002,0.4
2,"Sphyraena_sp",2003,0.35
2,"Sphyraena_sp",2004,0.33
2,"Sphyraena_sp",2005,0.33
2,"Sphyraena_sp",2006,0.32
2,"Sphyraena_sp",2007,0.29
2,"Sphyraena_sp",2008,0.26
2,"Sphyraena_sp",2009,0.22
2,"Sphyraena_sp",2010,0.24
2,"Sphyraena_sp",2011,0.21
2,"Sphyraena_sp",2012,0.17
2,"Sphyraena_sp",2013,0.16
2,"Sphyraena_sp",2014,0.12
2,"Siganus_sutor",2002,4.09
2,"Siganus_sutor",2003,3.65
2,"Siganus_sutor",2004,3.36
2,"Siganus_sutor",2005,3.2
2,"Siganus_sutor",2006,3.06
2,"Siganus_sutor",2007,2.91
2,"Siganus_sutor",2008,2.76
2,"Siganus_sutor",2009,2.6
2,"Siganus_sutor",2010,2.62
2,"Siganus_sutor",2011,2.23
2,"Siganus_sutor",2012,1.72
2,"Siganus_sutor",2013,1.39
2,"Siganus_sutor",2014,0.84
2,"Rastrelliger_kanarguta",2002,0.72
2,"Rastrelliger_kanarguta",2003,0.58
2,"Rastrelliger_kanarguta",2004,0.53
2,"Rastrelliger_kanarguta",2005,0.51
2,"Rastrelliger_kanarguta",2006,0.52
2,"Rastrelliger_kanarguta",2007,0.51
2,"Rastrelliger_kanarguta",2008,0.47
2,"Rastrelliger_kanarguta",2009,0.47
2,"Rastrelliger_kanarguta",2010,0.48
2,"Rastrelliger_kanarguta",2011,0.36
2,"Rastrelliger_kanarguta",2012,0.29
2,"Rastrelliger_kanarguta",2013,0.21
2,"Rastrelliger_kanarguta",2014,0.13
2,"Panulirus_sp",2002,16.72
2,"Panulirus_sp",2003,13.86
2,"Panulirus_sp",2004,10.42
2,"Panulirus_sp",2005,7.68
2,"Panulirus_sp",2006,6.53
2,"Panulirus_sp",2007,5.67
2,"Panulirus_sp",2008,4.41
2,"Panulirus_sp",2009,2.53
2,"Panulirus_sp",2010,1.87
2,"Panulirus_sp",2011,0.45
2,"Panulirus_sp",2012,0.12
2,"Panulirus_sp",2013,0.03
2,"Panulirus_sp",2014,0.01
2,"Peneius_indicus",2002,4.68
2,"Peneius_indicus",2003,3.19
2,"Peneius_indicus",2004,2.32
2,"Peneius_indicus",2005,2.05
2,"Peneius_indicus",2006,1.77
2,"Peneius_indicus",2007,1.4
2,"Peneius_indicus",2008,0.7
2,"Peneius_indicus",2009,0.31
2,"Peneius_indicus",2010,0.06
2,"Peneius_indicus",2011,0.01
2,"Peneius_indicus",2012,0
2,"Peneius_indicus",2013,0
2,"Peneius_indicus",2014,0
3,"Sphyraena_sp",2002,0.4
3,"Sphyraena_sp",2003,0.35
3,"Sphyraena_sp",2004,0.33
3,"Sphyraena_sp",2005,0.33
3,"Sphyraena_sp",2006,0.32
3,"Sphyraena_sp",2007,0.29
3,"Sphyraena_sp",2008,0.26
3,"Sphyraena_sp",2009,0.22
3,"Sphyraena_sp",2010,0.24
3,"Sphyraena_sp",2011,0.21
3,"Sphyraena_sp",2012,0.17
3,"Sphyraena_sp",2013,0.16
3,"Sphyraena_sp",2014,0.12
3,"Siganus_sutor",2002,4.09
3,"Siganus_sutor",2003,3.65
3,"Siganus_sutor",2004,3.36
3,"Siganus_sutor",2005,3.2
3,"Siganus_sutor",2006,3.06
3,"Siganus_sutor",2007,2.91
3,"Siganus_sutor",2008,2.76
3,"Siganus_sutor",2009,2.6
3,"Siganus_sutor",2010,2.62
3,"Siganus_sutor",2011,2.23
3,"Siganus_sutor",2012,1.72
3,"Siganus_sutor",2013,1.39
3,"Siganus_sutor",2014,0.84
3,"Rastrelliger_kanarguta",2002,0.72
3,"Rastrelliger_kanarguta",2003,0.58
3,"Rastrelliger_kanarguta",2004,0.53
3,"Rastrelliger_kanarguta",2005,0.51
3,"Rastrelliger_kanarguta",2006,0.52
3,"Rastrelliger_kanarguta",2007,0.51
3,"Rastrelliger_kanarguta",2008,0.47
3,"Rastrelliger_kanarguta",2009,0.47
3,"Rastrelliger_kanarguta",2010,0.48
3,"Rastrelliger_kanarguta",2011,0.36
3,"Rastrelliger_kanarguta",2012,0.29
